City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lubang,13.8584,120.124,79.36,85,100,17.6,PH,1732995926
1,Udachny,66.4167,112.4,-29.16,100,96,3.06,RU,1732995927
2,Yar,58.249,52.1026,30.07,94,98,9.22,RU,1732995928
3,Blackmans Bay,-43.0167,147.3167,60.46,96,100,7.16,AU,1732995929
4,Waitangi,-43.9535,-176.5597,53.82,77,13,11.99,NZ,1732995862
5,Adamstown,-25.066,-130.1015,73.24,81,58,16.24,PN,1732995932
6,Española,35.9911,-106.0806,49.06,24,39,3.96,US,1732995613
7,Grytviken,-54.2811,-36.5092,37.78,83,44,11.7,GS,1732995934
8,Hamilton,39.1834,-84.5333,34.5,41,0,12.66,US,1732995901
9,Ribeira Grande,38.5167,-28.7,61.2,63,40,5.75,PT,1732995936
10,Vorgashor,67.5833,63.95,13.71,95,100,11.86,RU,1732995937
11,Papatowai,-46.5619,169.4708,57.07,53,3,11.79,NZ,1732995939
12,Port-aux-Français,-49.35,70.2167,43.61,94,78,32.57,TF,1732995940
13,Saint Paul Harbor,57.79,-152.4072,27.91,74,75,4.61,US,1732995942
14,Gibraleón,37.3763,-6.969,64.6,81,100,4.45,ES,1732995943
15,Tiksi,71.6872,128.8694,-10.53,100,92,4.16,RU,1732995944
16,Bethel,41.3712,-73.414,35.33,55,100,8.05,US,1732995945
17,Whitehorse,60.7161,-135.0538,-24.83,75,0,0.0,CA,1732995947
18,Richards Bay,-28.783,32.0377,66.56,82,2,4.76,ZA,1732995773
19,Okhotsk,59.3833,143.3,21.58,86,100,13.22,RU,1732995949
20,Albany,42.6001,-73.9662,32.4,63,100,1.99,US,1732995188
21,Klyuchi,52.2667,79.1667,4.37,97,19,4.63,RU,1732995951
22,Puerto Natales,-51.7236,-72.4875,52.25,58,40,26.46,CL,1732995952
23,Northam,51.0333,-4.2167,57.61,90,80,20.31,GB,1732995953
24,Utrik,11.2278,169.8474,82.35,81,81,25.05,MH,1732995955
25,Hadibu,12.65,54.0333,77.77,72,100,11.39,YE,1732995956
26,Ilulissat,69.2167,-51.1,12.22,67,75,2.3,GL,1732995957
27,Saipan,15.1355,145.701,83.1,83,20,11.5,MP,1732995958
28,Arraial do Cabo,-22.9661,-42.0278,80.46,89,40,12.66,BR,1732995959
29,Talnakh,69.4865,88.3972,9.72,83,100,17.29,RU,1732995960
30,Qaqortoq,60.7167,-46.0333,16.97,62,100,9.13,GL,1732995961
31,Pathein,16.7833,94.7333,71.6,86,45,4.25,MM,1732995963
32,Sturgeon Bay,44.8342,-87.377,25.16,54,0,13.8,US,1732995964
33,Bandar-e Lengeh,26.5579,54.8807,70.66,27,0,7.67,IR,1732995965
34,Koné,-21.0595,164.8658,77.68,67,1,3.53,NC,1732995966
35,Hermanus,-34.4187,19.2345,64.8,79,78,8.1,ZA,1732995967
36,Dickson,36.077,-87.3878,44.2,36,75,8.05,US,1732995924
37,Piti Village,13.4626,144.6933,79.0,92,0,5.75,GU,1732995970
38,Port Alfred,-33.5906,26.891,64.18,86,100,3.76,ZA,1732995971
39,Fada,7.25,4.0667,88.47,29,39,5.75,NG,1732995972
40,Port Saint John's,-31.6229,29.5448,67.82,86,4,3.27,ZA,1732995973
41,Touros,-5.1989,-35.4608,79.0,71,15,11.56,BR,1732995974
42,Kerikeri,-35.2268,173.9474,62.92,95,100,5.06,NZ,1732995975
43,Tazacorte,28.629,-17.9293,71.15,56,0,8.01,ES,1732995976
44,Yellowknife,62.456,-114.3525,-3.48,84,100,6.91,CA,1732995978
45,High River,50.5834,-113.8687,8.31,90,61,3.6,CA,1732995979
46,Puerto Ayora,-0.7393,-90.3518,71.89,79,70,10.63,EC,1732995980
47,Iqaluit,63.7506,-68.5145,24.53,68,100,12.66,CA,1732995981
48,Fukuechō,32.6881,128.8419,57.22,57,44,5.91,JP,1732995982
49,Bilibino,68.0546,166.4372,-0.17,100,100,3.22,RU,1732995901
50,Carutapera,-1.195,-46.02,84.54,63,33,7.56,BR,1732995985
51,Badger,64.8,-147.5333,-10.82,80,0,3.44,US,1732995988
52,George Town,5.4112,100.3354,76.96,87,40,3.44,MY,1732995353
53,Myrina,39.8797,25.0742,56.44,94,75,17.27,GR,1732995990
54,Bucharest,44.4323,26.1063,42.93,92,100,20.71,RO,1732995809
55,Haiku-Pauwela,20.9219,-156.3051,75.33,70,20,18.01,US,1732995993
56,Port Elizabeth,-33.918,25.5701,65.32,92,0,2.3,ZA,1732995995
57,Polyarny,69.1989,33.4478,19.42,81,93,20.76,RU,1732995996
58,Chibougamau,49.9168,-74.3659,22.62,86,100,9.22,CA,1732995997
59,Punta Arenas,-53.15,-70.9167,50.11,76,75,23.02,CL,1732995823
60,Mahajanga,-15.7167,46.3167,78.82,94,40,3.44,MG,1732995999
61,Lihue,21.9789,-159.3672,72.99,83,20,5.75,US,1732996000
62,Karatau,43.1667,70.4667,39.76,92,100,1.88,KZ,1732995877
